蜂窝,1,完好，无蜂窝麻面,-
蜂窝,2,较大面积蜂窝麻面,累计面积≤构件面积的50%
蜂窝,3,大面积蜂窝麻面,累计面积＞构件面积的50%
麻面,1,完好，无蜂窝麻面,-
麻面,2,较大面积蜂窝麻面,累计面积≤构件面积的50%
麻面,3,大面积蜂窝麻面,累计面积＞构件面积的50%
剥落,1,完好，无剥落、掉角,-
剥落,2,局部混凝土剥落或掉角,累计面积≤构件面积的5%，或单处面积≤0.5m^2
剥落,3,较大范围混凝土剥落或掉角,累计面积>构件面积的5%且＜构件面积的10%，或单处面积＞0.5m^2且＜1.0m^2
剥落,4,大范围混凝土剥落或掉角,累计面积≥构件面积的10%，或单处面积≥1.0m^2
掉角,1,完好，无剥落、掉角,-
掉角,2,局部混凝土剥落或掉角,累计面积≤构件面积的5%，或单处面积≤0.5m^2
掉角,3,较大范围混凝土剥落或掉角,累计面积>构件面积的5%且＜构件面积的10%，或单处面积＞0.5m^2且＜1.0m^2
掉角,4,大范围混凝土剥落或掉角,累计面积≥构件面积的10%，或单处面积≥1.0m^2
空洞,1,完好，无空洞、孔洞,-
空洞,2,局部混凝土空洞、孔洞,累计面积≤构件面积的5%，或单处面积≤0.5m^2
空洞,3,较大范围混凝土空洞、孔洞,累计面积>构件面积的5%且＜构件面积的10%，或单处面积＞0.5m^2且＜1.0m^2
空洞,4,大范围混凝土空洞、孔洞,累计面积≥构件面积的10%，或单处面积≥1.0m^2
孔洞,1,完好，无空洞、孔洞,-
孔洞,2,局部混凝土空洞、孔洞,累计面积≤构件面积的5%，或单处面积≤0.5m^2
孔洞,3,较大范围混凝土空洞、孔洞,累计面积>构件面积的5%且＜构件面积的10%，或单处面积＞0.5m^2且＜1.0m^2
孔洞,4,大范围混凝土空洞、孔洞,累计面积≥构件面积的10%，或单处面积≥1.0m^2
混凝土保护层厚度,1,完好,-
混凝土保护层厚度,2,承重构件混凝土保护层厚度符合要求，对钢筋耐久性有轻度影响,-
混凝土保护层厚度,3,承重构件混凝土保护层厚度不足，对钢筋耐久性有较大影响，造成钢筋锈蚀,-
混凝土保护层厚度,4,承重构件混凝土保护层厚度严重不足，对钢筋耐久性有很大影响，钢筋失去碱性保护，发生较严重锈蚀,-
钢筋锈蚀,1,完好,承重构件钢筋锈蚀电位水平为0~-200mV，或电阻率＞20000Ω*cm
钢筋锈蚀,2,承重构件有轻微锈蚀现象,承重构件钢筋锈蚀电位水平为-200~-300mV，或电阻率为15000~20000Ω*cm
钢筋锈蚀,3,承重构件钢筋发生锈蚀，混凝土表面有沿钢筋的裂缝或混凝土表面有锈迹,承重构件钢筋锈蚀电位水平为-300~-400mV，或电阻率为10000~15000Ω*cm
钢筋锈蚀,4,承重构件钢筋锈蚀引起混凝土剥落，钢筋裸露，表面膨胀性锈层显著,承重构件钢筋锈蚀电位水平为-400~-500mV，或电阻率为5000~10000Ω*cm
钢筋锈蚀,5,承重构件大量钢筋锈蚀引起混凝土剥落，部分钢筋屈服或锈断，混凝土表面严重开裂，影响结构安全,承重构件钢筋锈蚀电位水平＜-500mV，或电阻率＞5000Ω*cm
混凝土碳化,1,完好,-
混凝土碳化,2,承重构件有少量碳化现象，且所有碳化深度均小于混凝土保护层厚度,-
混凝土碳化,3,承重构件的主要受力部位部分位置出现碳化现象，局部碳化深度大于混凝土保护层厚度，混凝土表面少量胶凝料松散粉化,-
混凝土碳化,4,承重构件的主要受力部位全部测点碳化且碳化深度大于混凝土保护层厚度，混凝土表面胶凝料大量松散粉化,-
混凝土强度,1,承重构件混凝土强度处于良好状态,承重构件混凝土推定强度均质系数Kbt≥0.95，平均强度均质系数Kbm≥1.00
混凝土强度,2,承重构件混凝土强度处于较好状态,承重构件混凝土推定强度均质系数0.95>Kbt≥0.90，平均强度均质系数Kbm≥0.95
混凝土强度,3,承重构件混凝土强度处于较差状态，造成承重构件出现缺损现象,承重构件混凝土推定强度均质系数0.90>Kbt≥0.80，平均强度均质系数Kbm≥0.90
混凝土强度,4,承重构件混凝土强度处于很差状态，造成承重构件出现较严重缺损或变形现象,承重构件混凝土推定强度均质系数0.80>Kbt≥0.70，平均强度均质系数Kbm≥0.85
混凝土强度,5,承重构件混凝土强度处于非常差状态，造成承重构件有严重的变形、位移、失稳等现象，显著影响承载力和行车安全,承重构件混凝土推定强度均质系数Kbt＞0.70，平均强度均质系数Kbm＜0.85
跨中挠度,1,完好,-
跨中挠度,2,较好，桥面板无明显变形,-
跨中挠度,3,出现明显下挠，挠度小于限值，或个别构件出现弯曲变形，行车稍感振动或摇晃,跨中最大挠度≤计算跨径的1/1000；悬臂端最大挠度≤悬臂长度的1/500
跨中挠度,4,出现显著下挠，挠度接近限值，或构件存在明显的永久变形，变形小于或等于规范值，梁板出现较严重病害,跨中最大挠度＞计算跨径的1/1000且≤计算跨径的1/600；悬臂端最大挠度＞悬臂长度的1/500且≤悬臂长度的1/300
跨中挠度,5,挠度或其他变形大于限值，造成结构出现明显的永久变形，梁板出现严重病害，显著影响承载力和行车安全,跨中最大挠度＞计算跨径的1/600；悬臂端最大挠度＞悬臂长度的1/300
结构变位,1,完好,-
结构变位,2,较好，结构无明显位移,-
结构变位,3,横向联结件松动，纵向接缝开裂较大,-
结构变位,4,边梁有横移或外倾现象，行车振动或摇晃明显，有异常音,-
结构变位,5,构件有严重的横向位移，存在失稳现象，结构振动或摇晃显著,-
预应力构件损伤,1,完好,-
预应力构件损伤,2,锚头、钢绞线等无明显缺陷,-
预应力构件损伤,3,钢绞线裸露出现极个别断丝现象，或锚头出现开裂等现象，或齿板位置处出现部分裂缝，裂缝未超限,-
预应力构件损伤,4,部分钢绞线断裂或失效，或锚头开裂较严重但未完全失效，或齿板位置处裂缝严重，裂缝超限,-
预应力构件损伤,5,预应力钢绞线大量断裂，预应力损耗严重，或锚头损坏失效，梁板出现严重变形,-
桥面板裂缝,1,完好,-
桥面板裂缝,2,局部出现网状裂缝，或桥面板出现少量轻微裂缝，缝宽未超限,网状裂缝累计面积≤构件面积的20%，单处面积≤1.0m^2，或桥面板裂缝缝长≤截面尺寸的1/3
桥面板裂缝,3,出现大面积网状裂缝，或桥面板出现较多横向裂缝(钢筋混凝土梁、板)，或顺主筋方向出现纵向裂缝，或出现斜裂缝、水平裂缝、竖向裂缝等，缝宽未超限,网状裂缝累计面积>构件面积的20%，单处面积＞1.0m^2，或桥面板裂缝缝长>截面尺寸的1/3且≤截面尺寸的2/3
桥面板裂缝,4,桥面板控制截面出现较多横向裂缝(钢筋混凝土梁、板)，或顺主筋方向出现严重纵向裂缝并伴有钢筋锈蚀等，或出现斜裂缝、水平裂缝、竖向裂缝等，裂缝缝宽超限,桥面板裂缝缝长＞截面尺寸的2/3，间距＜20cm
桥面板裂缝,5,桥面板控制截面出现大量结构性裂缝，裂缝大多贯通，且缝宽超限，桥面板出现变形,桥面板裂缝缝宽＞1.0mm，间距≤10cm
