伸缩缝装置凹凸不平,1,完好,-
伸缩缝装置凹凸不平,2,略有凹凸不平,差值≤1cm
伸缩缝装置凹凸不平,3,有明显凹凸不平,差值＞1cm且≤3cm
伸缩缝装置凹凸不平,4,严重凹凸不平,差值＞3cm
伸缩缝装置锚固区缺陷,1,完好,-
伸缩缝装置锚固区缺陷,2,锚固构件松动，或锚固螺栓松脱；或混凝土轻微损坏，出现裂缝、剥落现象,数量≤10%；面积≤10%
伸缩缝装置锚固区缺陷,3,锚固构件松动，或锚固螺栓松脱但功能尚存；或混凝土局部损坏,数量＞10%且≤20%；面积＞10%且≤20%
伸缩缝装置锚固区缺陷,4,锚固构件松动，或锚固螺栓松脱基本失效；或混凝土大面积破损,数量＞20%；面积＞20%
伸缩缝装置破损,1,完好,一
伸缩缝装置破损,2,锚固构件松动、缺失，或焊缝开裂；或橡胶条轻微损坏、老化；或排水管发生轻微破损，但不影响功能,数量≤10%；面积≤20%；-
伸缩缝装置破损,3,锚固构件松动、缺失，或焊缝开焊，造成钢板破损；或橡胶条老化、剥离；或焊接处大部分出现裂缝，但未断裂；或防水材料老化并有局部脱落现象，或排水管破损、堵塞，尚能维持功能,数量＞10%且≤20%；面积＞20%；-；-
伸缩缝装置破损,4,严重老化，锚固构件松动、缺失，或焊缝开焊，造成钢板破损失效；或焊接处出现剪断现象，或钢板其他部位出现剪断现象；或橡胶条完全剥离或脱落；或防水材料老化，完全脱落，或排水管完全堵塞失效,数量＞20%；-；-；-
伸缩缝装置失效,1,完好,-
伸缩缝装置失效,2,上层槽口堵塞、卡死等原因，造成伸缩缝伸缩异常，车辆行驶时出现冲击和噪声,-
伸缩缝装置失效,3,上层槽口堵塞、卡死等原因，造成伸缩缝不能自由变形，伸缩异常现象严重，伸缩缝出现明显损坏,-
伸缩缝装置失效,4,伸缩异常导致失效,-
