锥坡缺陷,1,完好,-
锥坡缺陷,2,铺砌面局部隆起、凹陷、开裂，砌缝砂浆脱落，或局部铺砌面下滑，坡角损坏,缺陷面积≤10%
锥坡缺陷,3,铺砌面出现大面积隆起、凹陷、开裂，砌缝砂浆脱落,缺陷面积＞10%且≤20%
锥坡缺陷,4,出现孔洞，破损等，丧失锥坡、护坡功能，或锥坡体和坡脚损坏严重，大面积滑坡、坍塌，坡顶下降较大，锥坡、护坡作用明显降低,缺陷面积＞20%
锥坡冲刷,1,完好,-
锥坡冲刷,2,局部冲成浅坑,-
锥坡冲刷,3,坡脚局部冲蚀，冲成深坑、沟或槽,-
锥坡冲刷,4,锥坡体和坡脚冲蚀严重，基础有淘空现象,-
护坡缺陷,1,完好,-
护坡缺陷,2,铺砌面局部隆起、凹陷、开裂，砌缝砂浆脱落，或局部铺砌面下滑，坡角损坏,缺陷面积≤10%
护坡缺陷,3,铺砌面出现大面积隆起、凹陷、开裂，砌缝砂浆脱落,缺陷面积＞10%且≤20%
护坡缺陷,4,出现孔洞，破损等，丧失锥坡、护坡功能，或锥坡体和坡脚损坏严重，大面积滑坡、坍塌，坡顶下降较大，锥坡、护坡作用明显降低,缺陷面积＞20%
护坡冲刷,1,完好,-
护坡冲刷,2,局部冲成浅坑,-
护坡冲刷,3,坡脚局部冲蚀，冲成深坑、沟或槽,-
护坡冲刷,4,锥坡体和坡脚冲蚀严重，基础有淘空现象,-
